addr_street,bathrooms,bedrooms,lat,lng,parking_space,price,property_id,property_type,year,Shopping_center_id,Distance_to_sc,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket,Train_station_id,Distance_to_train_station,suburb,travel_min_to_CBD,Transfer_flag
11 Roma Street,2.0,5.0,-37.925384,145.043297,2.0,18190000.0,94645.0,house,2014.0,SC_046,1630,hospital_110,1027,S_107,660,19938,687,BENTLEIGH,39,0
4 Lux Way,2.0,4.0,-37.764305,144.959779,3.0,5950000.0,21198.0,house,2015.0,SC_030,3651,hospital_011,1089,S_074,612,19967,350,BRUNSWICK,23,0
203 Tramway Parade,1.0,3.0,-37.979755,145.044521,2.0,8073000.0,91401.0,house,2009.0,SC_079,3422,hospital_055,661,S_011,1584,19866,1704,BEAUMARIS,36,0
241 Queen Street,1.0,3.0,-37.872521,144.816512,1.0,10000000.0,5077.0,house,2016.0,SC_033,5754,hospital_141,6690,S_128,1287,19925,860,ALTONA,32,0
5 Goulburn Grove,2.0,3.0,-37.72039795,145.0972748,2.0,8592000.0,43180.0,house,2008.0,SC_017,4680,hospital_075,1860,S_020,1765,19984,1585,YALLAMBIE,33,0
12 Rainsford Street,1.0,2.0,-37.87805939,144.9916687,1.0,9310000.0,84614.0,house,2008.0,SC_015,1419,hospital_009,1361,S_133,575,19955,394,ELWOOD,15,0
312 Brunswick Road,1.0,4.0,-37.776331,144.952729,1.0,14960000.0,21034.0,house,2010.0,SC_011,3288,hospital_102,816,S_138,845,19970,542,BRUNSWICK,18,0
79 Forrester Street,2.0,4.0,-37.751535,144.891681,3.0,8400000.0,14788.0,house,2010.0,SC_082,2304,hospital_184,1564,S_197,1827,20037,2214,ESSENDON,0,1
164 Wickham Road,1.0,2.0,-37.945731,145.045799,1.0,7150000.0,88534.0,house,2015.0,SC_079,561,hospital_110,1617,S_069,561,19872,456,HIGHETT,39,0
4 Trinity Street,1.0,3.0,-37.773054,144.955377,0.0,8800000.0,21209.0,house,2014.0,SC_011,3604,hospital_102,1220,S_074,544,19969,364,BRUNSWICK,20,0
83 Challis Street,3.0,5.0,-37.842568,144.87289,2.0,10980000.0,4698.0,house,2016.0,SC_033,2899,hospital_141,2750,S_056,2458,19994,941,NEWPORT,20,0
43 Ben Loman Circuit,2.0,3.0,-37.569927,144.921354,1.0,3350000.0,26939.0,house,2015.0,SC_005,523,hospital_104,8991,S_178,2902,40221,4044,CRAIGIEBURN,0,1
12 Mint Street,2.0,4.0,-37.840964,145.224876,2.0,8019000.0,71087.0,house,2014.0,SC_032,3159,hospital_008,961,S_226,2908,19871,2230,WANTIRNA,0,1
16 Portland Street,1.0,2.0,-37.743731,144.950614,1.0,4520000.0,22060.0,house,2013.0,SC_030,1261,hospital_084,1341,S_172,1307,19965,1130,COBURG,28,0
1 Edgar Street,1.0,3.0,-37.910878,145.006126,0.0,18240000.0,85888.0,house,2015.0,SC_046,4260,hospital_156,1283,S_151,523,19952,735,BRIGHTON,20,0
23 Goodall Drive,1.0,3.0,-37.754702,145.367592,2.0,6300000.0,67246.0,house,2010.0,SC_084,4737,hospital_151,997,S_233,1591,19876,1752,LILYDALE,59,0
30 Poa Court,1.0,3.0,-37.72161865,144.766571,1.0,2745000.0,12951.0,house,2009.0,SC_048,2542,hospital_057,6043,S_094,2312,20000,2377,DELAHEY,39,0
1 June Street,1.0,3.0,-37.945476,145.023078,1.0,11100000.0,88323.0,house,2014.0,SC_046,1496,hospital_036,1733,S_214,83,19872,1682,HIGHETT,39,0
9 Lytton Street,1.0,2.0,-37.878298,144.978287,2.0,16500000.0,85153.0,house,2014.0,SC_015,1090,hospital_103,2298,S_017,1094,19955,1512,ELWOOD,15,0
14B Hughes,2.0,3.0,-37.792127,144.853051,1.0,10640000.0,5527.0,house,2016.0,SC_043,763,hospital_174,2417,S_149,763,20022,1177,BRAYBROOK,21,0
42 Dublin Avenue,1.0,3.0,-37.735876,144.907092,3.0,8410000.0,15314.0,house,2013.0,SC_082,249,hospital_184,736,S_197,1007,20036,1754,STRATHMORE,0,1
10 Anstey Avenue,1.0,3.0,-37.692097,144.975666,2.0,4836000.0,33488.0,house,2009.0,SC_030,5019,hospital_139,3453,S_161,1558,19961,1760,RESERVOIR,35,0
9 Joffre Street,2.0,3.0,-37.791515,145.28381,2.0,7860000.0,64963.0,house,2014.0,SC_022,845,hospital_164,3070,S_181,557,19878,520,CROYDON,50,0
634 Boronia Road,2.0,4.0,-37.84908676,145.230835,1.0,5655000.0,71729.0,house,2008.0,SC_032,4048,hospital_179,293,S_226,2179,19871,2607,WANTIRNA,0,1
4 Ayers Court,2.0,3.0,-37.658061,145.027138,2.0,5775000.0,37383.0,house,2014.0,SC_062,5192,hospital_053,1183,S_229,1177,20005,684,EPPING,42,0
37 Hardiman Street,1.0,3.0,-37.795359,144.932866,0.0,11880000.0,10473.0,house,2015.0,SC_011,2062,hospital_114,237,S_086,1010,20041,270,KENSINGTON,20,0
24 Durban Street,3.0,4.0,-37.925141,145.049242,3.0,15900000.0,95264.0,house,2014.0,SC_046,1862,hospital_110,1403,S_107,885,19938,1209,BENTLEIGH,39,0
19 Mernda Avenue,1.0,3.0,-37.95759583,145.0440674,2.0,7884000.0,90166.0,house,2008.0,SC_079,978,hospital_082,1162,S_069,978,19872,1038,CHELTENHAM,39,0
46 Dorrington Avenue,1.0,3.0,-37.726468,145.022327,0.0,7800000.0,35008.0,house,2010.0,SC_047,1517,hospital_025,2118,S_225,589,20010,1720,RESERVOIR,32,0
476 Mitcham Road,2.0,3.0,-37.821485,145.193461,0.0,17700000.0,60032.0,house,2015.0,SC_088,1244,hospital_010,1229,S_202,1539,19900,408,MITCHAM,40,0
12 Threadneedle Street,2.0,3.0,-37.811875,145.096389,2.0,11676000.0,48977.0,house,2011.0,SC_020,2370,hospital_117,1747,S_136,970,19896,1163,BALWYN,33,0
15 Marian Street,2.0,3.0,-37.828036,145.038611,0.0,17500000.0,54130.0,house,2011.0,SC_083,883,hospital_127,484,S_208,940,19904,755,HAWTHORN,20,0
9 Liquidamber Street,1.0,3.0,-37.981339,145.23868,1.0,4368000.0,82461.0,house,2014.0,SC_112,2168,hospital_119,1780,S_195,1730,19888,2715,DOVETON,53,0
54 Graham Street,1.0,3.0,-37.836,144.868558,1.0,4800000.0,4542.0,house,2005.0,SC_033,2179,hospital_141,3566,S_056,1945,19994,1519,NEWPORT,20,0
19 Fay Street,1.0,3.0,-37.70211029,144.9748077,2.0,11550000.0,24113.0,house,2008.0,SC_030,4012,hospital_139,2674,S_161,2020,19961,1412,FAWKNER,35,0
22 Blairgowrie Drive,2.0,3.0,-37.585485,144.905601,2.0,3830000.0,25978.0,house,2011.0,SC_016,1097,hospital_104,7375,S_178,2678,40221,3791,CRAIGIEBURN,0,1
1 Daymar Circuit,2.0,4.0,-37.583863,144.910467,2.0,8240000.0,24865.0,house,2015.0,SC_016,1046,hospital_104,7491,S_178,2362,40221,3520,CRAIGIEBURN,0,1
29 Vincent Street,1.0,2.0,-37.74133,144.956195,0.0,10976000.0,22506.0,house,2011.0,SC_030,1127,hospital_084,1434,S_172,796,19965,638,COBURG,28,0
69 Meredith Street,1.0,3.0,-37.686527,144.925411,0.0,6710000.0,19133.0,house,2011.0,SC_059,3568,hospital_104,4012,S_153,995,20030,640,BROADMEADOWS,35,0
476 Gore Street,1.0,3.0,-37.7950031,144.9839104,1.0,13590000.0,28315.0,house,2013.0,SC_008,2246,hospital_178,1511,S_200,628,19975,1036,FITZROY,10,0
205 Miller Street,2.0,3.0,-37.750794,144.983873,2.0,5200000.0,30931.0,house,2013.0,SC_103,2022,hospital_144,1236,S_105,1739,20014,1377,THORNBURY,23,0
17 Crisp Avenue,1.0,3.0,-37.759709,144.967871,1.0,10465000.0,20631.0,house,2015.0,SC_030,3417,hospital_144,498,S_074,1319,19967,655,BRUNSWICK,23,0
38 Madden Avenue,1.0,3.0,-37.893695,145.050457,2.0,12110000.0,75102.0,house,2013.0,SC_041,1228,hospital_126,2836,S_015,849,19942,847,CARNEGIE,32,0
9 Mansfield Court,2.0,3.0,-37.703428,145.057945,2.0,6930000.0,41274.0,house,2015.0,SC_047,4604,hospital_037,194,S_155,592,19984,2425,BUNDOORA,33,0
173 Manchester Road,1.0,3.0,-37.77304,145.313022,1.0,6239000.0,65881.0,house,2014.0,SC_084,1659,hospital_113,3876,S_168,1632,19877,1304,MOOROOLBARK,54,0
35 Solway Street,1.0,3.0,-37.873669,145.071591,1.0,10710000.0,69984.0,house,2014.0,SC_041,1677,hospital_108,1197,S_048,1697,19838,411,ASHBURTON,22,0
283 Grimshaw Street,1.0,3.0,-37.702851,145.085362,1.0,12675000.0,43669.0,house,2010.0,SC_062,5696,hospital_075,1823,S_020,1311,19984,912,WATSONIA,33,0
95 Station Street,2.0,4.0,-38.023092,145.100009,2.0,12720000.0,93775.0,house,2010.0,SC_003,5863,hospital_001,4329,S_119,2041,19862,496,ASPENDALE,46,0
367 Balcombe Road,3.0,4.0,-37.978938,145.044156,2.0,14190000.0,91585.0,house,2010.0,SC_079,3328,hospital_055,702,S_011,1629,19866,1644,BEAUMARIS,36,0
67 ALMURTA AVENUE,1.0,3.0,-37.65975952,144.9284363,1.0,3360000.0,19479.0,house,2008.0,SC_072,1142,hospital_104,1231,S_153,2126,44817,251,COOLAROO,0,1
8 Bruce Street,2.0,5.0,-37.805724,145.090932,2.0,18370000.0,49726.0,house,2013.0,SC_020,3082,hospital_117,2344,S_136,963,19896,1993,BALWYN,33,0
30 Simpson Street,1.0,3.0,-37.817153,144.892362,2.0,9450000.0,3337.0,house,2013.0,SC_043,3768,hospital_056,2728,S_201,1892,19996,258,YARRAVILLE,15,0
39 Bolwarra Street,1.0,3.0,-37.879649,145.103385,1.0,3316500.0,70761.0,house,2016.0,SC_042,1074,hospital_166,2194,S_112,1696,19840,1018,CHADSTONE,27,0
21 Normanby Street,3.0,4.0,-37.854153,145.000792,1.0,18920000.0,83692.0,house,2013.0,SC_066,992,hospital_012,187,S_115,785,19957,798,WINDSOR,11,0
14 Billungah Place,1.0,3.0,-37.752921,144.75441,0.0,3600000.0,8091.0,house,2013.0,SC_048,2495,hospital_057,5355,S_156,37,20002,4116,BURNSIDE,33,0
34 Ilani Street,2.0,4.0,-37.636488,145.042737,2.0,5083000.0,37323.0,house,2015.0,SC_062,4131,hospital_053,2858,S_196,2890,20005,2090,EPPING,42,0
8 Barnard Court,2.0,4.0,-37.639576,145.032644,3.0,9900000.0,37761.0,house,2016.0,SC_062,4849,hospital_053,1952,S_196,2003,20005,1443,EPPING,42,0
3 Bendigo Street,2.0,4.0,-37.964276,145.058819,1.0,7733000.0,90462.0,house,2010.0,SC_079,2295,hospital_082,459,S_023,597,19866,457,CHELTENHAM,36,0
30A Ivanhoe Parade,2.0,3.0,-37.765342,145.044218,2.0,5920000.0,38819.0,house,2015.0,SC_001,357,hospital_039,1202,S_219,391,19933,409,IVANHOE,22,0
23 Warner Avenue,1.0,3.0,-37.866951,145.086046,1.0,13968000.0,69789.0,house,2013.0,SC_042,1252,hospital_098,347,S_112,680,19847,581,ASHBURTON,0,1
271 Grimshaw Street,1.0,3.0,-37.70305,145.086373,1.0,3080000.0,43652.0,house,2014.0,SC_062,5719,hospital_075,1732,S_020,1219,19984,909,WATSONIA,33,0
79 Princes Street,1.0,2.0,-37.79273224,144.9729462,0.0,6500000.0,20226.0,house,2009.0,SC_008,2145,hospital_188,1020,S_200,742,20019,2013,CARLTON NORTH,17,0
2 Cromer Cr,1.0,3.0,-37.921588,145.171559,1.0,5624000.0,77624.0,house,2016.0,SC_073,2123,hospital_161,4111,S_148,2055,19914,3434,MULGRAVE,41,0
52 Mont Albert Road,3.0,4.0,-37.816778,145.063071,3.0,7500000.0,57353.0,house,2012.0,SC_099,951,hospital_064,1579,S_113,1430,19892,1110,CANTERBURY,26,0
11 Barnesdale Drive,2.0,4.0,-37.840864,145.195266,2.0,12642000.0,60418.0,house,2016.0,SC_088,2766,hospital_008,2932,S_202,2523,19900,2560,VERMONT,40,0
2 Laburnum Court,2.0,3.0,-37.915681,145.005231,2.0,3380000.0,86301.0,house,2015.0,SC_046,3934,hospital_156,1277,S_009,833,19951,786,BRIGHTON,22,0
6 Gully Way,2.0,3.0,-37.596642,144.911213,2.0,6640000.0,27383.0,house,2010.0,SC_016,478,hospital_104,6071,S_178,2031,40221,2889,CRAIGIEBURN,0,1
90 Orlando Street,1.0,3.0,-37.934802,144.9974939,1.0,10305000.0,88005.0,house,2013.0,SC_046,3624,hospital_036,1009,S_088,493,19949,496,HAMPTON,26,0
11 Cardiff Court,2.0,4.0,-37.609827,144.925665,2.0,5785000.0,25091.0,house,2015.0,SC_110,1802,hospital_104,4572,S_005,1759,40221,1794,CRAIGIEBURN,0,1
2/1 Brownes Crescent,2.0,3.0,-37.715557,145.152397,2.0,13845000.0,46806.0,house,2014.0,SC_051,4707,hospital_075,4258,S_194,497,19987,460,ELTHAM,44,0
43 McWilliam Street,1.0,3.0,-37.938926,145.171494,1.0,7378000.0,79107.0,house,2015.0,SC_073,3851,hospital_161,3654,S_067,1527,19913,1973,SPRINGVALE,43,0
20 Windella Quadrant,2.0,4.0,-37.793035,145.13446,2.0,7348000.0,51027.0,house,2014.0,SC_091,996,hospital_154,2644,S_188,1139,20042,3132,DONCASTER,31,0
5 Bernard Street,2.0,4.0,-37.849285,145.251297,2.0,7900000.0,72431.0,house,2016.0,SC_032,4521,hospital_002,1636,S_139,1540,19870,1702,BAYSWATER,0,1
7 Mountain View Road,1.0,3.0,-37.810891,145.17184,2.0,6560000.0,59107.0,house,2016.0,SC_002,944,hospital_070,1935,S_202,1499,19899,1113,NUNAWADING,37,0
123 Blyth Street,1.0,3.0,-37.868629,144.819754,1.0,8500000.0,4865.0,house,2011.0,SC_033,5239,hospital_141,6348,S_128,903,19925,671,ALTONA,32,0
409 St Georges Road,2.0,3.0,-37.75758,144.993201,1.0,6300000.0,31243.0,house,2010.0,SC_103,2146,hospital_035,1418,S_105,1169,20014,550,THORNBURY,23,0
16 PURDY AVE,1.0,3.0,-37.980539,145.20361,1.0,6672000.0,80872.0,house,2011.0,SC_112,1241,hospital_033,1203,S_183,935,19889,1084,DANDENONG,50,0
24 Golf Hill Avenue,3.0,4.0,-37.78528595,145.1100464,2.0,12825000.0,51092.0,house,2009.0,SC_091,1416,hospital_194,1405,S_188,1242,19896,3821,DONCASTER,33,0
16 Edmondson Street,1.0,3.0,-37.66775,145.025652,2.0,5250000.0,36195.0,house,2014.0,SC_062,5569,hospital_053,1972,S_229,504,20006,774,LALOR,39,0
33 Patty Street,1.0,3.0,-37.976996,145.057842,2.0,8300000.0,92242.0,house,2014.0,SC_003,2816,hospital_055,606,S_011,648,19865,840,MENTONE,38,0
5 Gunn Street,1.0,3.0,-37.90584946,145.0668793,2.0,7140000.0,75231.0,house,2009.0,SC_087,2331,hospital_159,1816,S_015,2221,19918,1543,MURRUMBEENA,31,0
5 Avon Court,2.0,4.0,-37.705433,145.055935,2.0,5478000.0,40733.0,house,2012.0,SC_047,4321,hospital_037,425,S_155,755,19984,2529,BUNDOORA,33,0
8 Mervyn Crescent,2.0,3.0,-37.774768,145.047862,2.0,3315000.0,39034.0,house,2016.0,SC_001,931,hospital_039,1967,S_219,904,19933,687,IVANHOE,22,0
6 O'Meara Place,3.0,4.0,-37.71127319,145.0682221,2.0,2280000.0,43240.0,house,2009.0,SC_047,4511,hospital_037,1431,S_155,1828,19984,1371,MACLEOD,33,0
1 Royal Troon Way,2.0,3.0,-37.60228,144.914324,1.0,4410000.0,24912.0,house,2011.0,SC_016,1047,hospital_104,5416,S_178,1964,40221,2557,CRAIGIEBURN,0,1
27 Faraday Street,1.0,2.0,-37.799595,144.973727,0.0,17920000.0,20126.0,house,2016.0,SC_008,1406,hospital_188,715,S_200,405,19843,1277,CARLTON,8,0
49 Talbot Crescent,2.0,5.0,-37.8410868,145.0365537,2.0,24650000.0,69185.0,house,2011.0,SC_083,2296,hospital_168,1706,S_235,2229,19910,293,KOOYONG,12,0
53 Ross Street,1.0,3.0,-37.907843,145.11152,1.0,8250000.0,76295.0,house,2012.0,SC_087,3404,hospital_166,1072,S_169,2108,19916,878,HUNTINGDALE,35,0
9 Gallus Court,2.0,3.0,-37.688403,145.064197,2.0,7125000.0,41258.0,house,2011.0,SC_062,4498,hospital_041,359,S_155,1410,19984,3046,BUNDOORA,33,0
5 Florida Court,2.0,3.0,-37.678265,145.048969,2.0,4100000.0,40757.0,house,2012.0,SC_062,4372,hospital_041,1917,S_155,2333,20007,3064,BUNDOORA,38,0
1/31 Malane Street,1.0,3.0,-37.90090561,145.0370483,1.0,6030000.0,94524.0,house,2008.0,SC_041,2614,hospital_126,1552,S_166,2093,19941,341,ORMOND,35,0
1 Windsor Street,2.0,3.0,-37.800355,144.892281,1.0,10530000.0,117.0,house,2014.0,SC_043,2807,hospital_003,946,S_201,505,20024,249,FOOTSCRAY,17,0
216 Barkly Street,1.0,3.0,-37.77687,144.964863,2.0,12880000.0,20804.0,house,2014.0,SC_008,3917,hospital_024,1633,S_138,230,19969,579,BRUNSWICK,20,0
87 Corowa Crescent,3.0,4.0,-37.6847229,145.1049805,2.0,4842000.0,45544.0,house,2008.0,SC_062,4059,hospital_075,2273,S_210,2057,19985,2160,GREENSBOROUGH,37,0
42 Station Street,2.0,4.0,-37.9495631,145.004233,2.0,16800000.0,89534.0,house,2014.0,SC_046,3197,hospital_036,795,S_088,1394,19948,90,SANDRINGHAM,28,0
30 Woolwich Drive,1.0,4.0,-37.92468262,145.1629944,1.0,4185000.0,77920.0,house,2009.0,SC_073,2875,hospital_065,3693,S_148,2213,19914,2619,MULGRAVE,41,0
43 Hanover Street,1.0,3.0,-37.76074219,144.9539032,2.0,10452000.0,21246.0,house,2009.0,SC_030,3171,hospital_011,785,S_074,1142,19967,599,BRUNSWICK,23,0
6/521 Hampton Street,2.0,2.0,-37.931793,145.003215,2.0,4347000.0,87866.0,house,2012.0,SC_046,3201,hospital_036,1184,S_088,600,19949,705,HAMPTON,26,0
20 Selwyn Street,1.0,2.0,-37.78106689,144.815979,1.0,3822000.0,6428.0,house,2008.0,SC_102,1554,hospital_174,1503,S_080,1507,20004,856,ALBION,28,0
50 Grove Street,2.0,4.0,-37.711315,145.157791,2.0,7150000.0,47295.0,house,2010.0,SC_051,4194,hospital_075,4624,S_194,410,19987,912,ELTHAM,44,0
13 Clarke Street,2.0,3.0,-37.801519,145.001703,2.0,43520000.0,28802.0,house,2015.0,SC_068,2990,hospital_134,1067,S_076,1048,19975,689,ABBOTSFORD,10,0
176A Central Road,2.0,3.0,-37.825237,145.169903,1.0,9410000.0,58631.0,house,2016.0,SC_002,666,hospital_060,1488,S_202,574,19899,677,NUNAWADING,37,0
61 Mooltan Street,1.0,2.0,-37.78129578,144.9371033,1.0,8976000.0,11560.0,house,2009.0,SC_011,1848,hospital_102,690,S_086,1042,19971,786,TRAVANCORE,16,0
40 Moncur Avenue,1.0,3.0,-37.9602356,145.1475678,2.0,5083000.0,79073.0,house,2006.0,SC_057,4265,hospital_124,2938,S_075,831,19913,1300,SPRINGVALE,43,0
24 Delbridge Drive,2.0,3.0,-37.699602,144.762137,2.0,3938000.0,12740.0,house,2011.0,SC_048,4133,hospital_057,8197,S_163,1075,20000,1074,SYDENHAM,39,0
21 Alexandra Street,2.0,3.0,-37.72578812,145.0088654,1.0,6290000.0,34276.0,house,2008.0,SC_103,1651,hospital_139,1320,S_085,1369,20011,610,RESERVOIR,29,0
